Protocol Name, Long Protocol Name, Attribute Name, Full Attribute Name, Attribute Type, Attribute Description
aim_express, AIM express, chat_type, chat_typeQ_PROTO_AIM_EXPRESS, bytes, "Message type."
aim_express, AIM express, version, versionQ_PROTO_AIM_EXPRESS, bytes, "Client version."
aim_express, AIM express, contact_login, contact_loginQ_PROTO_AIM_EXPRESS, bytes, "Contact login."
aim_express, AIM express, contact_status, contact_statusQ_PROTO_AIM_EXPRESS, bytes, "Contact status."
aim_express, AIM express, client_status, client_statusQ_PROTO_AIM_EXPRESS, bytes, "Status of connected user."
aim_transfer, AIM Transfer, filename, filenameQ_PROTO_AIM_TRANSFER, bytes, "Name of the transferred file."
aim_transfer, AIM Transfer, filename_encoding, filename_encodingQ_PROTO_AIM_TRANSFER, bytes, "Encoding of the transferred file name."
aim_transfer, AIM Transfer, filesize, filesizeQ_PROTO_AIM_TRANSFER, uint32, "Size (byte) of the transferred file."
aims, Secure AIM, login, loginQ_PROTO_AIMS, bytes, "User's login string."
amqp, Advance Message Queuing Protocol, response_time, response_timeQ_PROTO_AMQP, string, "Server response time during the connection procedure."
amqp, Advance Message Queuing Protocol, exchange_type, exchange_typeQ_PROTO_AMQP, bytes, "Mode of AMQP exchange."
amqp, Advance Message Queuing Protocol, routing_key, routing_keyQ_PROTO_AMQP, bytes, "Virtual address used to route a message."
amqp, Advance Message Queuing Protocol, correlation_id, correlation_idQ_PROTO_AMQP, bytes, "Identifier used to correlate the application."
amqp, Advance Message Queuing Protocol, replyto, replytoQ_PROTO_AMQP, bytes, "Addresse of the reply queue."
apple_update, Apple Update, pkg_name, pkg_nameQ_PROTO_APPLE_UPDATE, bytes, "pkg_name (package name) is the name of the software being updated."
appstore, Apple App Store, device_type, device_typeQ_PROTO_APPSTORE, bytes, "Target device (iPhone, iPod,...)."
appstore, Apple App Store, connection_type, connection_typeQ_PROTO_APPSTORE, bytes, "Type of the connection."
appstore, Apple App Store, application_name, application_nameQ_PROTO_APPSTORE, bytes, "Name of the downloaded app."
archive, Archive.org, login, loginQ_PROTO_ARCHIVE, bytes, "User's login string."
archive, Archive.org, password, passwordQ_PROTO_ARCHIVE, bytes, "User's password string."
archive, Archive.org, query_text, query_textQ_PROTO_ARCHIVE, bytes, "Query sent to the search engine."
archive, Archive.org, query_raw, query_rawQ_PROTO_ARCHIVE, bytes, "Contains the query sent to the search engine as indicated in the URL."
archive, Archive.org, query_type, query_typeQ_PROTO_ARCHIVE, bytes, "Sort of query sent to the search engine."
archive, Archive.org, query_index, query_indexQ_PROTO_ARCHIVE, uint32, "A number containing the index of the showed results"
archive, Archive.org, encoding, encodingQ_PROTO_ARCHIVE, bytes, "Query encoding."
archive, Archive.org, action, actionQ_PROTO_ARCHIVE, bytes, "Indicates the action executed by the user."
archive, Archive.org, filename, filenameQ_PROTO_ARCHIVE, bytes, "Name of the transferred file."
archive, Archive.org, title, titleQ_PROTO_ARCHIVE, bytes, "File title."
archive, Archive.org, description, descriptionQ_PROTO_ARCHIVE, bytes, "File description."
archive, Archive.org, subject, subjectQ_PROTO_ARCHIVE, bytes, "File subject."
archive, Archive.org, creator, creatorQ_PROTO_ARCHIVE, bytes, "File creator."
ares, Ares, nickname, nicknameQ_PROTO_ARES, bytes, "Contains the user identity of the Ares connection."
ares, Ares, query, queryQ_PROTO_ARES, bytes, "Query sent to find a file."
ares, Ares, file_hash, file_hashQ_PROTO_ARES, bytes, "Hash of the transferred file."
badongo, Badongo.com, login, loginQ_PROTO_BADONGO, bytes, "User's login string."
badongo, Badongo.com, password, passwordQ_PROTO_BADONGO, bytes, "User's password string."
badongo, Badongo.com, action, actionQ_PROTO_BADONGO, bytes, "Indicates the action executed by the user."
badongo, Badongo.com, filename, filenameQ_PROTO_BADONGO, bytes, "Name of the transferred file."
badongo, Badongo.com, filesize, filesizeQ_PROTO_BADONGO, uint32, "Size (byte) of the transferred file."
badongo, Badongo.com, upload_description, upload_descriptionQ_PROTO_BADONGO, bytes, "Description of the uploaded file."
badoo, Badoo.com, login, loginQ_PROTO_BADOO, bytes, "User's login string."
badoo, Badoo.com, password, passwordQ_PROTO_BADOO, bytes, "User's password string."
badoo, Badoo.com, nickname, nicknameQ_PROTO_BADOO, bytes, "User's nickname, as seen in the ebuddy chat windows."
badoo, Badoo.com, sender, senderQ_PROTO_BADOO, bytes, "Contains the identity of the sender of a chat session or a file transfer."
badoo, Badoo.com, receiver, receiverQ_PROTO_BADOO, bytes, "Contains the identity of the receiver for a chat message or a file transfer."
badoo, Badoo.com, receiver_uid, receiver_uidQ_PROTO_BADOO, bytes, "Unique contact ID for a receiver."
badoo, Badoo.com, message, messageQ_PROTO_BADOO, bytes, "Contains the chat message."
badoo, Badoo.com, contact_login, contact_loginQ_PROTO_BADOO, bytes, "Contact login."
badoo, Badoo.com, contact_uid, contact_uidQ_PROTO_BADOO, bytes, "Contact ID."
baidu, Baidu.com, query_text, query_textQ_PROTO_BAIDU, bytes, "Query sent to the search engine."
baidu, Baidu.com, query_raw, query_rawQ_PROTO_BAIDU, bytes, "Contains the query sent to the search engine as indicated in the URL."
baidu, Baidu.com, query_type, query_typeQ_PROTO_BAIDU, bytes, "Sort of query sent to the search engine."
baidu, Baidu.com, encoding, encodingQ_PROTO_BAIDU, bytes, "Query encoding."
baidu, Baidu.com, query_index, query_indexQ_PROTO_BAIDU, uint32, "A number containing the index of the showed results"
base, Base virtual protocol, application, applicationQ_PROTO_BASE, bytes, "Name of the application to which the packet belongs."
base, Base virtual protocol, time, timeQ_PROTO_BASE, uint32, "Elapsed time since 1st January 1970, displayed in seconds/ minutes/ hours/ days according to the value of the given parameter."
base, Base virtual protocol, flow_id, flow_idQ_PROTO_BASE, uint64, "Unique connection ID."
base, Base virtual protocol, family, familyQ_PROTO_BASE, bytes, "Family to which the uppermost protocol of the protocol stack belongs to."
base, Base virtual protocol, application_id, application_idQ_PROTO_BASE, uint32, "Unique ID of application to which the packet belongs."
base, Base virtual protocol, path_len, path_lenQ_PROTO_BASE, uint32, "Contains the number of protocols in the packet protocol stack (path)."
base, Base virtual protocol, packet_counter, packet_counterQ_PROTO_BASE, uint32, "Number of packets received."
base, Base virtual protocol, declassified, declassifiedQ_PROTO_BASE, uint32, "Attribute showing whether a declassification is happened in a packet, the raised value is the protocol id."
base, Base virtual protocol, application_end, application_endQ_PROTO_BASE, bytes, "Contains the latest value for the attribute application"
base, Base virtual protocol, family_end, family_endQ_PROTO_BASE, bytes, "Contains the latest value for the attribute family"
base, Base virtual protocol, application_id_end, application_id_endQ_PROTO_BASE, uint32, "Contains the latest value for the attribute application_id"
base, Base virtual protocol, create_time, create_timeQ_PROTO_BASE, string, "Contains the timestamp of the first packet of the flow."
base, Base virtual protocol, multi_match_proto_id, multi_match_proto_idQ_PROTO_BASE, uint32, "When multiple pdata rules do match the same packet, the highest priority rule is classified. The protocol ids of the lesser priority rules are shown in deacreasing priority order through this protocol."
bebo, Bebo.com, is_mobile_service, is_mobile_serviceQ_PROTO_BEBO, uint32, "Whether or not the access was made through a mobile device."
bebo, Bebo.com, password, passwordQ_PROTO_BEBO, bytes, "User's password string."
bebo, Bebo.com, login, loginQ_PROTO_BEBO, bytes, "User's login string."
bgp, Border Gateway Protocol, identifier, identifierQ_PROTO_BGP, string, "BGP Identifier of the sender"
bgp, Border Gateway Protocol, path_attr_value_local_pref, path_attr_value_local_prefQ_PROTO_BGP, uint32, "Local preference value"
bgp, Border Gateway Protocol, path_attr_value_as_num, path_attr_value_as_numQ_PROTO_BGP, uint32, "As number"
bgp, Border Gateway Protocol, path_attr_value_next_hop_ip, path_attr_value_next_hop_ipQ_PROTO_BGP, string, "IP address of the next hop"
bgp, Border Gateway Protocol, withdrawn_prefix, withdrawn_prefixQ_PROTO_BGP, string, "Contains Ip addresses Prefixes"
bgp, Border Gateway Protocol, nlri_prefix, nlri_prefixQ_PROTO_BGP, string, "Contains IP addresses prefix"
bing, Bing.com (formerly MSN Search), encoding, encodingQ_PROTO_BING, bytes, "Query encoding."
bing, Bing.com (formerly MSN Search), query_index, query_indexQ_PROTO_BING, uint32, "A number containing the index of the showed results"
bing, Bing.com (formerly MSN Search), query_type, query_typeQ_PROTO_BING, bytes, "Sort of query sent to the search engine."
bing, Bing.com (formerly MSN Search), query_raw, query_rawQ_PROTO_BING, bytes, "Contains the query sent to the search engine as indicated in the URL."
bing, Bing.com (formerly MSN Search), query_text, query_textQ_PROTO_BING, bytes, "Query sent to the search engine."
bittorrent, BitTorrent, tracker, trackerQ_PROTO_BITTORRENT, bytes, "BitTorrent tracker URL."
bittorrent, BitTorrent, user_agent, user_agentQ_PROTO_BITTORRENT, bytes, "Name of the software used."
bittorrent, BitTorrent, client_version, client_versionQ_PROTO_BITTORRENT, bytes, "Version of the software."
bittorrent, BitTorrent, canceled_chunk_number, canceled_chunk_numberQ_PROTO_BITTORRENT, uint32, "Number of the canceled piece."
bittorrent, BitTorrent, canceled_chunk_length, canceled_chunk_lengthQ_PROTO_BITTORRENT, uint32, "Size of the canceled piece."
bittorrent, BitTorrent, canceled_chunk_data_offset, canceled_chunk_data_offsetQ_PROTO_BITTORRENT, uint32, "Offset of the canceled data."
bittorrent, BitTorrent, file_chunk_number, file_chunk_numberQ_PROTO_BITTORRENT, uint32, "Number of the transferred piece."
bittorrent, BitTorrent, file_chunk_len, file_chunk_lenQ_PROTO_BITTORRENT, uint32, "Size of the transferred piece."
bittorrent, BitTorrent, file_chunk_data_offset, file_chunk_data_offsetQ_PROTO_BITTORRENT, uint32, "Offset of the transferred data."
bittorrent, BitTorrent, torrent_filename, torrent_filenameQ_PROTO_BITTORRENT, bytes, "Name of the torrent file."
bittorrent, BitTorrent, piece_length, piece_lengthQ_PROTO_BITTORRENT, uint32, "Chunk size, for the specified file."
bittorrent, BitTorrent, filename, filenameQ_PROTO_BITTORRENT, bytes, "Name of the transferred file."
bittorrent, BitTorrent, filesize, filesizeQ_PROTO_BITTORRENT, uint32, "Size (byte) of the transferred file."
bittorrent, BitTorrent, peer_share_ip, peer_share_ipQ_PROTO_BITTORRENT, string, "IP address used by a peer to share his files."
bittorrent, BitTorrent, peer_share_id, peer_share_idQ_PROTO_BITTORRENT, bytes, "ID used by a peer to share his files."
bittorrent, BitTorrent, peer_port, peer_portQ_PROTO_BITTORRENT, bytes, "Port used by a peer to share his files."
bittorrent, BitTorrent, file_completed, file_completedQ_PROTO_BITTORRENT, bytes, "Completed file."
bittorrent, BitTorrent, file_downloaded, file_downloadedQ_PROTO_BITTORRENT, bytes, "Downloaded file."
bittorrent, BitTorrent, file_incomplete, file_incompleteQ_PROTO_BITTORRENT, bytes, "Incomplete file."
bittorrent, BitTorrent, file_left, file_leftQ_PROTO_BITTORRENT, bytes, "Left file."
bittorrent, BitTorrent, file_uploaded, file_uploadedQ_PROTO_BITTORRENT, bytes, "Uploaded file."
bittorrent, BitTorrent, classification_type, classification_typeQ_PROTO_BITTORRENT, bytes, "How the protocol has been classified. Always returns Deterministic"
bmff, ISO Base Media File Format, video_type, video_typeQ_PROTO_BMFF, bytes, "File format."
bmff, ISO Base Media File Format, video_brand, video_brandQ_PROTO_BMFF, bytes, "Normalized video format specification identifier."
bmff, ISO Base Media File Format, video_uuid, video_uuidQ_PROTO_BMFF, bytes, "Universally unique identifier."
bmff, ISO Base Media File Format, video_duration, video_durationQ_PROTO_BMFF, uint32, "Duration of the video in seconds."
bmff, ISO Base Media File Format, video_width, video_widthQ_PROTO_BMFF, uint32, "Width of the video in pixels."
bmff, ISO Base Media File Format, video_height, video_heightQ_PROTO_BMFF, uint32, "Height of the video in pixels."
bmff, ISO Base Media File Format, video_datarate, video_datarateQ_PROTO_BMFF, uint32, "Video bitrate in kilobits per second."
bmff, ISO Base Media File Format, video_avgdatarate, video_avgdatarateQ_PROTO_BMFF, uint32, "Average video bitrate in kilobits per second."
bssap, BSS Application Part, timestamp, timestampQ_PROTO_BSSAP, string, "Message timestamp"
bssap, BSS Application Part, validity_period, validity_periodQ_PROTO_BSSAP, bytes, "Validity period for the message"
bssap, BSS Application Part, imsi_receiver, imsi_receiverQ_PROTO_BSSAP, bytes, "International Mobile Subscriber Identity of the receiver"
bssap, BSS Application Part, imei_receiver, imei_receiverQ_PROTO_BSSAP, bytes, "International Mobile Equipment Identity of the receiver"
bssap, BSS Application Part, msisdn_receiver, msisdn_receiverQ_PROTO_BSSAP, bytes, "Mobile Subscriber Integrated Services Digital Network Number of the receiver"
bssap, BSS Application Part, imsi_sender, imsi_senderQ_PROTO_BSSAP, bytes, "International Mobile Subscriber Identity of the sender"
bssap, BSS Application Part, imei_sender, imei_senderQ_PROTO_BSSAP, bytes, "International Mobile Equipment Identity of the sender"
bssap, BSS Application Part, msisdn_sender, msisdn_senderQ_PROTO_BSSAP, bytes, "Mobile Subscriber Integrated Services Digital Network Number of the sender"
bxml, WAP Binary XML, version, versionQ_PROTO_BXML, bytes, "Protocol version."
capwap, Control And Provisioning of Wireless Access Points, bssid, bssidQ_PROTO_CAPWAP, string, "EUI-48 MAC address of the radio receiving the packet."
capwap, Control And Provisioning of Wireless Access Points, bssid_64, bssid_64Q_PROTO_CAPWAP, uint64, "EUI-64 MAC address of the radio receiving the packet."
chap, Challenge Handshake Authentication Protocol, challenge_name, challenge_nameQ_PROTO_CHAP, bytes, "Hostname of the peer initiating the authentication process."
chap, Challenge Handshake Authentication Protocol, response_name, response_nameQ_PROTO_CHAP, bytes, "Hostname of the peer responding to challenge."
chap, Challenge Handshake Authentication Protocol, message_type, message_typeQ_PROTO_CHAP, bytes, "Type of message sent."
chrome_update, Chrome Update, new_version, new_versionQ_PROTO_CHROME_UPDATE, bytes, "New version number returned by the server."
chrome_update, Chrome Update, current_version, current_versionQ_PROTO_CHROME_UPDATE, bytes, "Current version installed on the host."
chrome_update, Chrome Update, plugin_id, plugin_idQ_PROTO_CHROME_UPDATE, bytes, "Plugin Id for the updated plugin."
chrome_update, Chrome Update, plugin_new_version, plugin_new_versionQ_PROTO_CHROME_UPDATE, bytes, "New version number returned by the server for the plugin."
chrome_update, Chrome Update, plugin_current_version, plugin_current_versionQ_PROTO_CHROME_UPDATE, bytes, "Plugin version number currently installed."
cups, Common Unix Printer System, printer, printerQ_PROTO_CUPS, bytes, "URI addressing the CUPS printer."
cups, Common Unix Printer System, location, locationQ_PROTO_CUPS, bytes, "Location of the Printer."
cups, Common Unix Printer System, information, informationQ_PROTO_CUPS, bytes, "Information on Printer."
cups, Common Unix Printer System, model, modelQ_PROTO_CUPS, bytes, "Printer model."
dailymotion, Dailymotion.com, login, loginQ_PROTO_DAILYMOTION, bytes, "User's login string."
dailymotion, Dailymotion.com, email, emailQ_PROTO_DAILYMOTION, bytes, "Parent entry, for fields belonging to the same email."
dailymotion, Dailymotion.com, password, passwordQ_PROTO_DAILYMOTION, bytes, "User's password string."
dailymotion, Dailymotion.com, query_text, query_textQ_PROTO_DAILYMOTION, bytes, "Query sent to the search engine."
dailymotion, Dailymotion.com, query_raw, query_rawQ_PROTO_DAILYMOTION, bytes, "Contains the query sent to the search engine as indicated in the URL."
dcerpc, Distributed Computing Environment - Remote Procedure Call, service, serviceQ_PROTO_DCERPC, bytes, "Current service identification string."
dcerpc, Distributed Computing Environment - Remote Procedure Call, interface_uuid, interface_uuidQ_PROTO_DCERPC, bytes, "ID of the interface."
dcerpc, Distributed Computing Environment - Remote Procedure Call, call_id, call_idQ_PROTO_DCERPC, uint32, "ID of the call."
debian_update, Debian/Ubuntu Update, package_version, package_versionQ_PROTO_DEBIAN_UPDATE, bytes, "Repository packet version."
debian_update, Debian/Ubuntu Update, package_name, package_nameQ_PROTO_DEBIAN_UPDATE, bytes, "Debian packet name."
dhcp, Dynamic Host Configuration Protocol, ciaddr, ciaddrQ_PROTO_DHCP, string, "Current client ip address."
dhcp, Dynamic Host Configuration Protocol, yiaddr, yiaddrQ_PROTO_DHCP, string, "New ip address attributed to the client."
dhcp, Dynamic Host Configuration Protocol, siaddr, siaddrQ_PROTO_DHCP, string, "Ip address of next server (used when booting via a server)."
dhcp, Dynamic Host Configuration Protocol, giaddr, giaddrQ_PROTO_DHCP, string, "Relay agent ip address (used when booting via a relay agent)."
dhcp, Dynamic Host Configuration Protocol, chaddr, chaddrQ_PROTO_DHCP, string, "Client hardware address."
dhcp, Dynamic Host Configuration Protocol, sname, snameQ_PROTO_DHCP, bytes, "Server host name (optional)."
dhcp, Dynamic Host Configuration Protocol, subnetmask, subnetmaskQ_PROTO_DHCP, string, "Subnet mask assigned to the client."
dhcp, Dynamic Host Configuration Protocol, router, routerQ_PROTO_DHCP, string, "List of gateway's ip addresses."
dhcp, Dynamic Host Configuration Protocol, dns_server, dns_serverQ_PROTO_DHCP, string, "List of dns server's ip addresses."
dhcp, Dynamic Host Configuration Protocol, bootfilename, bootfilenameQ_PROTO_DHCP, bytes, "File name used when initializing"
dhcp, Dynamic Host Configuration Protocol, circuit_id, circuit_idQ_PROTO_DHCP, bytes, "A suboption that contains the circuit identifier"
dhcp, Dynamic Host Configuration Protocol, remote_id, remote_idQ_PROTO_DHCP, bytes, "The remote agent"
dhcp, Dynamic Host Configuration Protocol, remote_id_type, remote_id_typeQ_PROTO_DHCP, bytes, "An suboption that contains the remote agent identifier."
dhcp, Dynamic Host Configuration Protocol, remote_id_subtype, remote_id_subtypeQ_PROTO_DHCP, bytes, "Subtype for the remote agent"
dhcp, Dynamic Host Configuration Protocol, ip_lease_time, ip_lease_timeQ_PROTO_DHCP, uint32, "In a server reply (dhcpoffer), a dhcp server uses this option to specify the lease time it is willing to offer. the time is in seconds"
dhcp, Dynamic Host Configuration Protocol, end_status, end_statusQ_PROTO_DHCP, uint32, "An event sent when dhcp session expires. it's equal to 1 when a release message was observed and 0 if not"
dhcp, Dynamic Host Configuration Protocol, xid, xidQ_PROTO_DHCP, uint32, "Transaction ID, a random number chosen by the client, used by the client and server to associate requests and responses."
diameter, Diameter, acct_record_number, acct_record_numberQ_PROTO_DIAMETER, uint32, "Unique identifier for one record within a session"
diameter, Diameter, acct_record_type, acct_record_typeQ_PROTO_DIAMETER, uint32, "Record type"
diameter, Diameter, acct_output_octets, acct_output_octetsQ_PROTO_DIAMETER, uint64, "Indicates how many octets have been sent to the port in the course of delivering this service"
diameter, Diameter, acct_input_octets, acct_input_octetsQ_PROTO_DIAMETER, uint64, "Indicates how many octets have been received from the port over the course of this service being provided"
diameter, Diameter, acct_sub_session_id, acct_sub_session_idQ_PROTO_DIAMETER, uint64, "Sub-session identifier"
diameter, Diameter, acct_multi_session_id, acct_multi_session_idQ_PROTO_DIAMETER, bytes, "Link between multiple accounting sessions"
diameter, Diameter, acct_session_id, acct_session_idQ_PROTO_DIAMETER, bytes, "Accounting session ID."
diameter, Diameter, terminate_cause, terminate_causeQ_PROTO_DIAMETER, uint32, "This attribute indicates how the session was terminated"
diameter, Diameter, destination_host, destination_hostQ_PROTO_DIAMETER, bytes, "Destination Diameter host for the current message"
diameter, Diameter, auth_request_type, auth_request_typeQ_PROTO_DIAMETER, uint32, "Requested authentication type"
diameter, Diameter, result_code, result_codeQ_PROTO_DIAMETER, uint32, "Indicates whether a particular Diameter request was completed successfully not"
diameter, Diameter, origin_host, origin_hostQ_PROTO_DIAMETER, bytes, "Source Diameter host for the current message"
diameter, Diameter, session_id, session_idQ_PROTO_DIAMETER, bytes, "Uniquely identifies the current user session."
diameter, Diameter, calling_station_id, calling_station_idQ_PROTO_DIAMETER, bytes, "Client id."
diameter, Diameter, called_station_id, called_station_idQ_PROTO_DIAMETER, bytes, "The phone number that the user called, using Dialed Number Identification (DNIS) or similar technology."
diameter, Diameter, framed_ip, framed_ipQ_PROTO_DIAMETER, bytes, "IP address."
diameter, Diameter, nas_port, nas_portQ_PROTO_DIAMETER, uint32, "Physical port number of the user on the NAS"
diameter, Diameter, nas_port_type, nas_port_typeQ_PROTO_DIAMETER, uint32, "Indicates the type of the physical port of the NAS that is authenticating the user."
diameter, Diameter, nas_port_id, nas_port_idQ_PROTO_DIAMETER, bytes, "Indicates the physical port number of the NAS that is authenticating the user."
diameter, Diameter, nas_ip, nas_ipQ_PROTO_DIAMETER, bytes, "IP address of the NAS originating the Access-Request"
diameter, Diameter, nas_id, nas_idQ_PROTO_DIAMETER, bytes, "Unique identifier of the NAS originating the Access-Request"
diameter, Diameter, login, loginQ_PROTO_DIAMETER, bytes, "User's login string."
diameter, Diameter, end_to_end_id, end_to_end_idQ_PROTO_DIAMETER, uint32, "Used to detect duplicate messages"
diameter, Diameter, hop_by_hop_id, hop_by_hop_idQ_PROTO_DIAMETER, uint32, "Used to match Diameter request and reply messages"
diameter, Diameter, application_id, application_idQ_PROTO_DIAMETER, uint32, "Identify which application the message is applicable for"
diameter, Diameter, command_code, command_codeQ_PROTO_DIAMETER, uint32, "Command associated with the Diameter request"
dimp, Dynamic Internet Messaging Program, attach_type, attach_typeQ_PROTO_DIMP, bytes, "Content type of the sent attached file."
dimp, Dynamic Internet Messaging Program, attach_size, attach_sizeQ_PROTO_DIMP, uint32, "Attached file MIME size."
