protocolName,longProtocolName,attributeName,attributeDescription
Routing,bgp,#Q_BGP_PATH_ATTR_VALUE,binary
Routing,bgp,#Q_BGP_WITHDRAWN,parent
Routing,bgp,#Q_BGP_WITHDRAWN_PREFIX_LEN,uint8
Routing,bgp,#Q_BGP_NLRI,parent
Routing,bgp,#Q_BGP_NLRI_PREFIX_LEN,uint8
Routing,bgp,#Q_BGP_AUTH_ENTRY,parent
Routing,bgp,#Q_BGP_AUTH_CODE,uint8
Routing,bgp,#Q_BGP_AUTH_MESSAGE,binary
Routing,bgp,#Q_BGP_AFI,uint16
Routing,bgp,#Q_BGP_SAFI,uint8
Web,bing,#Q_MPA_END,ptr
Web,bing,#Q_MPA_QUERY,parent
Peer to Peer,bittorrent,#Q_MPA_END,ptr
Peer to Peer,bittorrent,#Q_MPA_PEER_INFO,
Peer to Peer,bittorrent,#Q_MPA_SIGNALIZATION_OVERRIDE,uint8
Peer to Peer,bittorrent,#Q_MPA_DECLASSIFY_OVERRIDE,uint8
Peer to Peer,bittorrent,#Q_MPA_FILE_HASH,binary
Peer to Peer,bittorrent,#Q_BITTORRENT_FILE_HASH_RAW,buffer
Peer to Peer,bittorrent,#Q_BITTORRENT_PEER_ID,binary
Peer to Peer,bittorrent,#Q_MPA_FILE_CHUNK,parent
Peer to Peer,bittorrent,#Q_BITTORRENT_CANCELED_CHUNK,parent
Peer to Peer,bittorrent,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Peer to Peer,bittorrent,#Q_MPA_FILE,parent
Peer to Peer,bittorrent,#Q_BITTORRENT_PEER_SHARE_IP6,ip6_addr
Peer to Peer,bittorrent,#Q_BITTORRENT_PEER_SHARE_PORT,uint16
Audio/Video,bmff,#Q_MPA_END,ptr
Audio/Video,bmff,#Q_MPA_VIDEO,parent
Telephony,bssap,#Q_MPA_END,ptr
Telephony,bssap,#Q_MPA_MESSAGE,parent
Telephony,bssap,#Q_MPA_RECEIVER_ENTRY,parent
Telephony,bssap,#Q_MPA_SENDER_ENTRY,parent
Wap,bxml,#Q_BXML_PUBLIC_ID,uint8
Network Management,cdp,#Q_MPA_VERSION,uint8
Network Management,cdp,#Q_CDP_TTL,uint8
Network Management,cdp,#Q_CDP_PREFIX,ip_net
Network Management,cdp,#Q_CDP_NATIVE_VLAN,binary
Network Management,cdp,#Q_CDP_DUPLEX,binary
Authentication,chap,#Q_CHAP_CHALLENGE,binary
Authentication,chap,#Q_CHAP_RESPONSE,binary
Web,chrome_update,#Q_MPA_END,ptr
Web,chrome_update,#Q_CHROME_UPDATE_PLUGIN,parent
Network Service,cotp,#Q_COTP_TPDU_CODE,uint8
Web,dailymotion,#Q_MPA_END,ptr
Web,dailymotion,#Q_MPA_ACCOUNT,parent
Web,dailymotion,#Q_MPA_QUERY,parent
Web,debian_update,#Q_MPA_END,ptr
Web,debian_update,#Q_MPA_PACKAGE,parent
Network Service,dhcp,#Q_MPA_END,ptr
Network Service,dhcp,#Q_MPA_INHERIT_PARENT,binary
Network Service,dhcp,#Q_DHCP_REQUEST,parent
Network Service,dhcp,#Q_DHCP_OPTION,parent
Network Service,dhcp,#Q_DHCP_OPTION_TYPE,uint8
Network Service,dhcp,#Q_DHCP_OPTION_VALUE,binary
Network Service,dhcp,#Q_DHCP_AGENT,parent
Authentication,diameter,#Q_MPA_END,ptr
Authentication,diameter,#Q_DIAMETER_COMMAND_FLAGS,uint8
Authentication,diameter,#Q_MPA_REQUEST,parent
Webmail,dimp,#Q_MPA_END,ptr
Webmail,dimp,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,dimp,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,dimp,#Q_MPA_SENDER_ENTRY,parent
Webmail,dimp,#Q_MPA_ATTACH,parent
Webmail,dimp,#Q_MPA_EMAIL,parent
Webmail,dimp,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,dimp,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,dimp,#Q_MPA_MSGLIST_ENTRY,parent
Peer to Peer,directconnect,#Q_MPA_END,ptr
Peer to Peer,directconnect,#Q_MPA_PEER_INFO,
Peer to Peer,directconnect,#Q_DIRECTCONNECT_SEARCH_RESULT,parent
Peer to Peer,directconnect,#Q_MPA_FILE_CHUNK,parent
Peer to Peer,directconnect,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Network Service,dns,#Q_MPA_END,ptr
Network Service,dns,#Q_DNS_DNS_ENTRY,parent
Network Service,dns,#Q_DNS_DNS_QUERY,parent
Network Service,dns,#Q_DNS_HOST_ADDR6,ip6_addr
Network Service,dns,#Q_DNS_REVERSE_ADDR6,ip6_addr
Network Service,dns,#Q_DNS_WEB_APPLICATION_INFO,
Web,ebay,#Q_MPA_END,ptr
Web,ebay,#Q_MPA_QUERY,parent
Instant Messaging,ebuddy,#Q_MPA_END,ptr
Instant Messaging,ebuddy,#Q_MPA_CONTACT_ENTRY,parent
Instant Messaging,ebuddy,#Q_MPA_CHAT,parent
Instant Messaging,ebuddy,#Q_MPA_ACCOUNT,parent
Peer to Peer,edonkey,#Q_MPA_END,ptr
Peer to Peer,edonkey,#Q_MPA_PEER_INFO,
Peer to Peer,edonkey,#Q_MPA_FILE_HASH,binary
Peer to Peer,edonkey,#Q_MPA_FILE_CHUNK,parent
Peer to Peer,edonkey,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Routing,eigrp,#Q_MPA_VERSION,uint8
Routing,eigrp,#Q_EIGRP_OPCODEID,uint8
Network Service,eth,#Q_ETH_PROTOCOL,uint16
Network Service,eth,#Q_ETH_TRAILER,binary
Network Service,eth,#Q_ETH_ADDRESS,uint8
Tunneling,etsi_li,#Q_MPA_END,ptr
Tunneling,etsi_li,#Q_ETSI_LI_COMMUNICATION_ID,parent
Tunneling,etsi_li,#Q_ETSI_LI_NETWORK_ID,parent
Tunneling,etsi_li,#Q_ETSI_LI_MICROSECOND_TIME_STAMP_TEMP,parent
Web,facebook,#Q_MPA_END,ptr
Web,facebook,#Q_FACEBOOK_APPLICATION,parent
Web,facebook,#Q_FACEBOOK_FEED,parent
Web,facebook,#Q_FACEBOOK_SHARE,parent
Web,facebook,#Q_MPA_CONTACT_ENTRY,parent
Web,facebook,#Q_FACEBOOK_PROFILE_ENTRY,parent
Web,facebook,#Q_MPA_CHAT,parent
Web,facebook,#Q_MPA_QUERY,parent
Web,facebook,#Q_MPA_ACCOUNT,parent
Web,facebook_apps,#Q_MPA_END,ptr
Web,facebook_apps,#Q_FACEBOOK_APPS_APPLICATION,parent
Webmail,facebook_mail,#Q_MPA_END,ptr
Webmail,facebook_mail,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,facebook_mail,#Q_MPA_ATTACH,parent
Webmail,facebook_mail,#Q_MPA_CONTACT_ENTRY,parent
Webmail,facebook_mail,#Q_MPA_SENDER_ENTRY,parent
Webmail,facebook_mail,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,facebook_mail,#Q_MPA_EMAIL,parent
Webmail,facebook_mail,#Q_MPA_ACCOUNT,parent
Audio/Video,facetime,#Q_MPA_END,ptr
Audio/Video,facetime,#Q_MPA_SERVICE_INFO,parent
Web,firefox_update,#Q_MPA_END,ptr
Web,firefox_update,#Q_FIREFOX_UPDATE_PLUGIN,parent
Web,friendster,#Q_MPA_END,ptr
Web,friendster,#Q_MPA_ACCOUNT,parent
File Server,ftp,#Q_MPA_INHERIT_PARENT,binary
File Server,ftp,#Q_MPA_END,ptr
File Server,ftp,#Q_FTP_COMMAND,parent
File Server,ftp,#Q_MPA_REQUEST,parent
File Server,ftp,#Q_FTP_DATA_PORT,uint16
File Server,ftp,#Q_FTP_RETURN_MSG,parent
File Server,ftp,#Q_FTP_RETURN_CODE,uint16
File Server,ftp_data,#Q_MPA_INHERIT_KEY,binary
File Server,ftp_data,#Q_MPA_CONTENT,buffer
Middleware,giop,#Q_MPA_MESSAGE,parent
Middleware,giop,#Q_GIOP_OBJECT_KEY,buffer
Middleware,giop,#Q_MPA_END,ptr
Webmail,gmail,#Q_MPA_END,ptr
Webmail,gmail,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,gmail,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,gmail,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,gmail,#Q_MPA_EMAIL,parent
Webmail,gmail,#Q_MPA_SENDER_ENTRY,parent
Webmail,gmail,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,gmail,#Q_MPA_ATTACH,parent
Webmail,gmail,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,gmail,#Q_GMAIL_ACCESS_INFO,parent
Webmail,gmail,#Q_MPA_CONTACT_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_END,ptr
Webmail,gmail_basic,#Q_MPA_SENDER_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_CONTACT_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,gmail_basic,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,gmail_basic,#Q_MPA_ATTACH,parent
Webmail,gmail_basic,#Q_MPA_EMAIL,parent
Instant Messaging,gmail_chat,#Q_MPA_END,ptr
Instant Messaging,gmail_chat,#Q_MPA_CHAT,parent
Instant Messaging,gmail_chat,#Q_MPA_INHERIT_PARENT,binary
Webmail,gmail_mobile,#Q_MPA_END,ptr
Webmail,gmail_mobile,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Webmail,gmail_mobile,#Q_MPA_MSGLIST_ENTRY,parent
Webmail,gmail_mobile,#Q_MPA_CONTACT_ENTRY,parent
Webmail,gmail_mobile,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,gmail_mobile,#Q_MPA_ATTACH,parent
Webmail,gmail_mobile,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,gmail_mobile,#Q_MPA_SENDER_ENTRY,parent
Webmail,gmail_mobile,#Q_MPA_EMAIL,parent
Webmail,gmail_mobile,#Q_MPA_MSGLIST_RECEIVER_ENTRY,parent
Webmail,gmx,#Q_MPA_END,ptr
Webmail,gmx,#Q_MPA_ATTACH_CONTENT,buffer
Webmail,gmx,#Q_MPA_ATTACH,parent
Webmail,gmx,#Q_MPA_RECEIVER_ENTRY,parent
Webmail,gmx,#Q_MPA_SENDER_ENTRY,parent
Webmail,gmx,#Q_MPA_EMAIL,parent
Peer to Peer,gnutella,#Q_MPA_END,ptr
Peer to Peer,gnutella,#Q_MPA_PEER_INFO,
Peer to Peer,gnutella,#Q_MPA_FILE,parent
Peer to Peer,gnutella,#Q_MPA_FILE_CHUNK,parent
Peer to Peer,gnutella,#Q_GNUTELLA_FILE_CHUNK_DATA,parent
Peer to Peer,gnutella,#Q_MPA_FILE_CHUNK_CONTENT,buffer
Peer to Peer,gnutella,#Q_MPA_FILE_CHUNK_NUMBER,uint16
Peer to Peer,gnutella,#Q_GNUTELLA_PEER,parent
Peer to Peer,gnutella,#Q_GNUTELLA_PEER_PORT,
Web,google,#Q_MPA_END,ptr
Web,google,#Q_MPA_QUERY,parent
Web,google_ads,#Q_MPA_END,ptr
Web,google_ads,#Q_GOOGLE_ADS_GOOGLE_AD,parent
Web,google_earth,#Q_MPA_END,ptr
Web,google_earth,#Q_GOOGLE_EARTH_SEARCH,parent
Web,google_earth,#Q_MPA_QUERY,parent
Web,google_earth,#Q_GOOGLE_EARTH_NEAR,parent
Web,google_earth,#Q_GOOGLE_EARTH_ITINERARY,parent
Web,google_earth,#Q_GOOGLE_EARTH_START_ADDR,parent
Web,google_earth,#Q_GOOGLE_EARTH_END_ADDR,parent
Forum,google_groups,#Q_MPA_END,ptr
Forum,google_groups,#Q_MPA_SENDER_ENTRY,parent
Forum,google_groups,#Q_MPA_EMAIL,parent
Forum,google_groups,#Q_MPA_MSGLIST_SENDER_ENTRY,parent
Forum,google_groups,#Q_MPA_MSGLIST_ENTRY,parent
Forum,google_groups,#Q_MPA_RECEIVER_ENTRY,parent
Forum,google_groups,#Q_MPA_MEMBER_ENTRY,parent
Forum,google_groups,#Q_MPA_QUERY,parent
Web,google_maps,#Q_MPA_END,ptr
Web,google_maps,#Q_MPA_QUERY,parent
Web,google_maps,#Q_GOOGLE_MAPS_ITINERARY,parent
Web,google_maps,#Q_GOOGLE_MAPS_SPACE,parent
Web,gougou,#Q_MPA_END,ptr
Web,gougou,#Q_MPA_QUERY,parent
Tunneling,gre,#Q_GRE_WRONG_CRC,uint16
Tunneling,gre,#Q_GRE_PROTOCOL_ID,uint16
Tunneling,gtp,#Q_MPA_END,ptr
Tunneling,gtp,#Q_MPA_INHERIT_KEY,binary
Tunneling,gtp,#Q_MPA_INHERIT_PARENT,binary
Tunneling,gtp,#Q_MPA_REQUEST,parent
Tunneling,gtp,#Q_GTP_VERSION,uint8
Tunneling,gtp,#Q_GTP_MESSAGE_CODE,uint8
Tunneling,gtp,#Q_GTP_FLOW_LABEL,uint16
Tunneling,gtp,#Q_GTP_SEQ,uint16
Tunneling,gtp,#Q_GTP_MS_ADDRESS_V6,ip6_addr
Tunneling,gtp,#Q_GTP_MS_ADDRESS_V6_PEER,ip6_addr
Tunneling,gtp,#Q_GTP_GSN,parent
Tunneling,gtp,#Q_GTP_GSN_ADDRESS_V6,ip6_addr
Tunneling,gtp,#Q_GTP_GSN_ADDRESS_V6_CONTROL,ip6_addr
Tunneling,gtp,#Q_GTP_GSN_ADDRESS_V6_DATA,ip6_addr
Tunneling,gtp,#Q_GTP_NSAPI,uint8
Tunneling,gtp,#Q_GTP_QOS_RAW,binary
Tunneling,gtp,#Q_GTP_LOCATION_RAW,binary
Tunneling,gtpv2,#Q_MPA_END,ptr
Tunneling,gtpv2,#Q_MPA_INHERIT_KEY,binary
Tunneling,gtpv2,#Q_MPA_INHERIT_PARENT,binary
Tunneling,gtpv2,#Q_MPA_REQUEST,parent
Tunneling,gtpv2,#Q_GTPV2_VERSION,uint8
Tunneling,gtpv2,#Q_GTPV2_MESSAGE_CODE,uint8
Tunneling,gtpv2,#Q_MPA_MESSAGE,buffer
Tunneling,gtpv2,#Q_GTPV2_EPS_BEARER_ID,uint8
Tunneling,gtpv2,#Q_GTPV2_GUTI,binary
Tunneling,gtpv2,#Q_GTPV2_MS_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S1U_ENODEB_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S1U_SGW_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S5_S8_SGW_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S5_S8_PGW_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S5_S8_SGW_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S5_S8_PGW_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S11_MME_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S11_S4_SGW_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S10_MME_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S3_MME_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S3_SGSN_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S4_SGW_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S4_SGSN_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S4_SGSN_GTPC_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S12_RNC_GTPU_ADDRESS_V6,ip6_addr
Tunneling,gtpv2,#Q_GTPV2_S12_SGW_GTPU_ADDRESS_V6,ip6_addr
Audio/Video,h225,#Q_MPA_END,ptr
Audio/Video,h225,#Q_MPA_INHERIT_PARENT,binary
Audio/Video,h225,#Q_MPA_CALL,parent
Audio/Video,h225,#Q_MPA_MEDIA_ATTR,parent
Audio/Video,h225,#Q_MPA_REQUEST,parent
Audio/Video,h225,#Q_H225_H245_ADDR_V6,ip6_addr
Audio/Video,h225,#Q_H225_H245_PORT,uint16
Audio/Video,h225,#Q_H225_CAUSE_CODE,uint8
Audio/Video,h225,#Q_H225_REF_FLAG,uint8
Audio/Video,h225,#Q_MPA_OLC,parent
Audio/Video,h225,#Q_MPA_LOGICAL_CHANNEL_NUMBER,uint16
Audio/Video,h225,#Q_MPA_MEDIA_CONTROL_CHANNEL,parent
Audio/Video,h225,#Q_MPA_MEDIA_CONTROL_CHANNEL_ADDR_V6,ip6_addr
Audio/Video,h225,#Q_MPA_MEDIA_CONTROL_CHANNEL_PORT,uint16
Audio/Video,h225,#Q_MPA_MEDIA_CHANNEL,parent
Audio/Video,h225,#Q_MPA_MEDIA_CHANNEL_ADDR_V6,ip6_addr
Audio/Video,h225,#Q_MPA_MEDIA_CHANNEL_PORT,uint16
Audio/Video,h225,#Q_H225_H245_CONTROL,parent
Audio/Video,h225,#Q_H225_H245_REQUEST,parent
Audio/Video,h245,#Q_MPA_INHERIT_KEY,binary
Audio/Video,h245,#Q_MPA_INHERIT_PARENT,binary
Audio/Video,h245,#Q_MPA_END,ptr
Audio/Video,h245,#Q_MPA_MEDIA_ATTR,parent
Audio/Video,h245,#Q_MPA_REQUEST,parent
Audio/Video,h245,#Q_MPA_OLC,parent
Audio/Video,h245,#Q_MPA_LOGICAL_CHANNEL_NUMBER,uint16
Audio/Video,h245,#Q_MPA_MEDIA_CONTROL_CHANNEL,parent
Audio/Video,h245,#Q_MPA_MEDIA_CONTROL_CHANNEL_ADDR_V6,ip6_addr
Audio/Video,h245,#Q_MPA_MEDIA_CONTROL_CHANNEL_PORT,uint16
Audio/Video,h245,#Q_MPA_MEDIA_CHANNEL,parent
Audio/Video,h245,#Q_MPA_MEDIA_CHANNEL_PORT,uint16
Audio/Video,h248_binary,#Q_MPA_END,ptr
Audio/Video,h248_binary,#Q_H248_BINARY_TRANSACTION,parent
Audio/Video,h248_binary,#Q_H248_BINARY_FROM_IPV6,ip6_addr
Audio/Video,h248_binary,#Q_H248_BINARY_TO_IPV6,ip6_addr
Audio/Video,h248_binary,#Q_H248_BINARY_SRC_AUDIO_PORT,uint16
Audio/Video,h248_binary,#Q_H248_BINARY_SRC_VIDEO_PORT,uint16
Audio/Video,h248_binary,#Q_H248_BINARY_DST_AUDIO_PORT,uint16
Audio/Video,h248_binary,#Q_H248_BINARY_DST_VIDEO_PORT,uint16
Audio/Video,h248_text,#Q_MPA_END,ptr
Audio/Video,h248_text,#Q_H248_TEXT_TRANSACTION,parent
Audio/Video,h248_text,#Q_H248_TEXT_FROM_IPV6,ip6_addr
Audio/Video,h248_text,#Q_H248_TEXT_TO_IPV6,ip6_addr
Audio/Video,h248_text,#Q_H248_TEXT_SRC_AUDIO_PORT,uint16
Audio/Video,h248_text,#Q_H248_TEXT_SRC_VIDEO_PORT,uint16
Audio/Video,h248_text,#Q_H248_TEXT_DST_AUDIO_PORT,uint16
Audio/Video,h248_text,#Q_H248_TEXT_DST_VIDEO_PORT,uint16
Web,hi5,#Q_MPA_END,ptr
Web,hi5,#Q_MPA_UID,buffer
Web,hi5,#Q_MPA_ACCOUNT,parent
Network Service,hpellc,#Q_HPELLC_DST_XSAP,uint16
Network Service,hpellc,#Q_HPELLC_SRC_XSAP,uint16
Routing,hsrp,#Q_HSRP_PRIORITY,uint8
Routing,hsrp,#Q_HSRP_GROUP,uint8
Web,http,#Q_MPA_END,ptr
Web,http,#Q_MPA_DECLASSIFY_OVERRIDE,uint8
Web,http,#Q_MPA_NOCACHING_OVERRIDE,uint8
Web,http,#Q_HTTP_REQUEST,parent
Web,http,#Q_HTTP_HOST_END_OFFSET,int32
Web,http,#Q_HTTP_URI_END_OFFSET,int32
Web,http,#Q_HTTP_USER_AGENT_END_OFFSET,int32
Web,http,#Q_MPA_CONTENT,buffer
Web,http,#Q_MPA_CONTENT_RAW,buffer
Web,http,#Q_HTTP_HEADER,parent
Web,http,#Q_MPA_IS_WEBDAV,uint8
Web,http,#Q_HTTP_FILE_COMPLETED,uint8
Web,http,#Q_MPA_MIME,parent
Web,http,#Q_HTTP_PART,parent
Web,http,#Q_HTTP_PART_HEADER,parent
Web,http,#Q_HTTP_PART_CONTENT,buffer
Web,http,#Q_HTTP_URI_PARAM,parent
Web,http,#Q_HTTP_HEADER_END,no_type
Web,http,#Q_MPA_IMAGE,parent
Web,http,#Q_MPA_IMAGE_INDEX_COLOR,uint8
Web,http,#Q_MPA_IMAGE_ALPHA_CHANNEL,uint8
Web,http,#Q_MPA_VIDEO,parent
Web,http,#Q_MPA_VIDEO_MANGLED,uint8
Tunneling,http_tunnel,#Q_MPA_INHERIT_PARENT,binary
Tunneling,http_tunnel,#Q_MPA_INHERIT_KEY,binary
Thin Client,ica,#Q_ICA_APPLICATION_UTF16,buffer
Thin Client,ica,#Q_ICA_LOGIN_INFO_UTF16,buffer
Thin Client,ica,#Q_ICA_PRIORITY,uint8
Web,icap,#Q_MPA_END,ptr
Web,icap,#Q_ICAP_REQUEST_RESPMOD_REQ,parent
Application Service,icloud,#Q_MPA_END,ptr
Application Service,icloud,#Q_MPA_REQUEST,parent
Network Service,icmp,#Q_ICMP_TYPEVAL,uint8
Network Service,icmp,#Q_ICMP_CODE,uint8
Network Service,icmp,#Q_ICMP_SEQ,uint16
Network Service,icmp,#Q_ICMP_WRONG_CRC,uint16
Network Service,icmp6,#Q_MPA_END,ptr
Network Service,icmp6,#Q_ICMP6_TYPE,uint8
Network Service,icmp6,#Q_ICMP6_CODE,uint8
Network Service,icmp6,#Q_ICMP6_TARGET_ADDRESS,ip6_addr
Network Service,icmp6,#Q_ICMP6_LINK_LAYER_ADDR,parent
